,precision,recall,f1-score,support
Cyst,0.9915966386554622,0.9833333333333333,0.9874476987447698,360.0
Normal,1.0,0.9861111111111112,0.993006993006993,360.0
Stone,0.9828571428571429,1.0,0.9913544668587896,344.0
Tumor,0.9814814814814815,0.9888059701492538,0.9851301115241636,268.0
accuracy,0.9894894894894894,0.9894894894894894,0.9894894894894894,0.9894894894894894
macro avg,0.9889838157485217,0.9895626036484246,0.989234817533679,1332.0
weighted avg,0.9895755886605558,0.9894894894894894,0.989492864503404,1332.0
